ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,Contract_Market_Name,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,Open_Interest_Old,Open_Interest_Other,Change_in_Open_Interest_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Prod_Merc_Long_Other,Contract_Units,CFTC_SubGroup_Code,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME
110111080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01-11-11 0:00,2011 Report Week 02,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"617,471","146,434","335,564","93,227","110,286","61,414","8,907","539,113","570,947","617,471",0,"10,286","7,953","9,100",100,23.7,54.3,87.3,92.5,100,23.7,54.3,100,0,0,52,57,187,155,52,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110104080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01-04-11 0:00,2011 Report Week 01,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"607,185","142,910","322,113","83,550","110,353","57,955","7,432","531,160","561,847","607,185",0,-122,"8,946",603,100,23.5,53.1,87.5,92.5,100,23.5,53.1,100,0,0,53,57,182,154,53,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101228080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/28/2010 12:00:00 AM,2010 Report Week 52,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"607,307","131,125","322,334","85,274","110,547","55,424","7,664","522,214","561,244","607,307",0,872,"-2,552","-3,718",100,21.6,53.1,86,92.4,100,21.6,53.1,100,0,0,50,55,184,157,50,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101221080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/21/2010 12:00:00 AM,2010 Report Week 51,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"606,435","134,944","339,025","87,398","98,269","56,739","8,908","524,766","564,962","606,435",0,"20,692","13,792","22,101",100,22.3,55.9,86.5,93.2,100,22.3,55.9,100,0,0,50,56,183,156,50,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101214080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/14/2010 12:00:00 AM,2010 Report Week 50,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"585,743","139,919","318,449","86,911","92,760","55,152","7,182","510,974","542,861","585,743",0,"10,487","4,317","8,802",100,23.9,54.4,87.2,92.7,100,23.9,54.4,100,0,0,51,54,182,146,51,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101207080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12-07-10 0:00,2010 Report Week 49,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"575,256","139,007","313,717","88,392","91,626","55,060","7,720","506,657","534,059","575,256",0,"4,786","-1,184","2,848",100,24.2,54.5,88.1,92.8,100,24.2,54.5,100,0,0,51,50,179,144,51,50,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101130080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/30/2010 12:00:00 AM,2010 Report Week 48,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"570,470","135,921","308,886","92,214","93,105","54,094","6,433","507,841","531,211","570,470",0,"-6,286",-77,"-3,195",100,23.8,54.1,89,93.1,100,23.8,54.1,100,0,0,50,50,178,145,50,50,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101123080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/23/2010 12:00:00 AM,2010 Report Week 47,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"576,756","134,771","319,309","99,141","88,261","51,430","7,797","507,918","534,406","576,756",0,"-5,168",-594,-888,100,23.4,55.4,88.1,92.7,100,23.4,55.4,100,0,0,53,52,182,154,53,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101116080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/16/2010 12:00:00 AM,2010 Report Week 46,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"581,924","132,153","322,072","103,217","87,647","46,976","8,961","508,512","535,294","581,924",0,"-15,414","-5,778","-24,465",100,22.7,55.3,87.4,92,100,22.7,55.3,100,0,0,52,51,181,151,52,51,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101109080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11-09-10 0:00,2010 Report Week 45,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"597,338","129,204","346,480","108,216","86,871","42,648","6,945","514,290","559,759","597,338",0,"-6,732","-11,667","-5,327",100,21.6,58,86.1,93.7,100,21.6,58,100,0,0,49,56,189,152,49,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101102080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11-02-10 0:00,2010 Report Week 44,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"604,070","125,459","380,866","126,295","71,234","40,718","5,413","525,957","565,086","604,070",0,"10,091","9,431","12,444",100,20.8,63,87.1,93.5,100,20.8,63,100,0,0,48,57,186,148,48,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101026080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10/26/2010 12:00:00 AM,2010 Report Week 43,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"593,979","118,340","368,460","127,225","70,215","39,759","6,779","516,526","552,642","593,979",0,"6,631","6,641","6,995",100,19.9,62,87,93,100,19.9,62,100,0,0,48,56,184,147,48,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
101019080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10/19/2010 12:00:00 AM,2010 Report Week 42,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"587,348","105,374","363,110","128,277","66,963","43,503","6,771","509,885","545,647","587,348",0,"7,942","10,635","12,187",100,17.9,61.8,86.8,92.9,100,17.9,61.8,100,0,0,48,54,183,143,48,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
